name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Mexico city,2023-12-26,13.7,7,11.1,13.7,7,10.9,4.9,66.3,0,100,0,rain,0,0,25.6,12.2,287.4,1016.6,85.9,18.8,53.8,4.7,4,10,2023-12-26T07:08:19,2023-12-26T18:06:00,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"remote,MMTO,MMMX"
Mexico city,2023-12-27,14.1,10.1,11.9,14.1,10.1,11.9,3,54.8,0,77.4,0,rain,0,0,15.8,10.8,234.8,1016,83.5,24.1,96.1,8.3,3,10,2023-12-27T07:08:44,2023-12-27T18:06:33,0.52,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain.,rain,
Mexico city,2023-12-28,18.7,8.5,13,18.7,8.5,13,-2.1,39.9,0,0,0,,0,0,13.7,9.4,153.6,1016.6,0,24.1,233.5,20.1,8,10,2023-12-28T07:09:09,2023-12-28T18:07:08,0.56,Clear,Clear conditions throughout the day.,clear-day,
Mexico city,2023-12-29,18,9.4,12.6,18,8.1,12.6,-1.2,41.7,0,16.1,0,,0,0,21.6,15.1,318.4,1017.3,2.2,24.1,229,19.8,8,10,2023-12-29T07:09:33,2023-12-29T18:07:43,0.59,Clear,Clear conditions throughout the day.,clear-day,
Mexico city,2023-12-30,17.8,8.3,12.3,17.8,7.9,12.2,1.4,50.8,0,9.7,0,,0,0,15.5,10.1,69.3,1018.9,13,24.1,226.3,19.6,8,10,2023-12-30T07:09:56,2023-12-30T18:08:18,0.62,Clear,Clear conditions throughout the day.,clear-day,
Mexico city,2023-12-31,20,9.8,14.4,20,9.8,14.4,-1.7,37,0.3,0,8.33,rain,0,0,12.2,8.6,77.6,1018.3,0.8,24.1,232.3,20,8,10,2023-12-31T07:10:17,2023-12-31T18:08:54,0.65,Clear,Clear conditions throughout the day.,clear-day,
Mexico city,2024-01-01,19.2,11.4,15,19.2,11.4,15,-2.2,32,0,0,0,,0,0,11.9,11.9,85.3,1018.8,25.7,24.1,231.9,20,8,10,2024-01-01T07:10:38,2024-01-01T18:09:30,0.69,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
Mexico city,2024-01-02,20.1,11.3,15,20.1,11.3,15,-0.7,36.7,0,0,0,,0,0,13.7,13.7,224.3,1017.3,79.6,24.1,219.3,18.7,8,10,2024-01-02T07:10:58,2024-01-02T18:10:07,0.72,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
Mexico city,2024-01-03,19.3,11.1,14.4,19.3,11.1,14.4,-4.5,28.9,0.1,3.2,4.17,rain,0,0,15.5,15.5,231.6,1016.9,71.7,24.1,214.6,18.6,8,10,2024-01-03T07:11:16,2024-01-03T18:10:44,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
Mexico city,2024-01-04,15.9,8,12.1,15.9,6.9,11.8,4.2,59.3,0.2,6.5,4.17,rain,0,0,26.6,9,190.6,1019.1,82.4,22,122.3,10.5,5,10,2024-01-04T07:11:34,2024-01-04T18:11:22,0.78,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
Mexico city,2024-01-05,18.3,10.9,13.9,18.3,10.9,13.9,3.5,51.7,0,9.7,0,,0,0,35.3,21.2,227.2,1017.3,79.6,24.1,201.5,17.4,6,10,2024-01-05T07:11:50,2024-01-05T18:12:00,0.81,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
Mexico city,2024-01-06,20.4,10.3,14.9,20.4,10.3,14.9,-1,35.9,0,12.9,0,,0,0,11.9,7.9,225.1,1016.9,68.1,24.1,229.6,19.9,8,10,2024-01-06T07:12:05,2024-01-06T18:12:38,0.85,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
Mexico city,2024-01-07,20.3,11.9,15.4,20.3,11.9,15.4,3.5,45.9,0.1,22.6,4.17,rain,0,0,16.6,13.7,221.6,1014.8,98.8,24.1,176.4,15.5,7,10,2024-01-07T07:12:19,2024-01-07T18:13:17,0.88,Overcast,Cloudy skies throughout the day.,cloudy,
Mexico city,2024-01-08,18.5,12.9,15.1,18.5,12.9,15.1,5.6,53.5,0,3.2,0,,0,0,36,16.2,212.8,1014.8,97.3,24.1,165.4,14.4,6,10,2024-01-08T07:12:32,2024-01-08T18:13:55,0.91,Overcast,Cloudy skies throughout the day.,cloudy,
Mexico city,2024-01-09,19.3,12.1,14.8,19.3,12.1,14.8,3.3,47.8,0,0,0,,0,0,31,21.2,215.6,1014.8,97.2,24.1,185.6,16,7,10,2024-01-09T07:12:44,2024-01-09T18:14:34,0.94,Overcast,Cloudy skies throughout the day.,cloudy,
